,transformed_text,target
0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,0
1,ok lar joke wif u oni,0
2,free entri 2 wkli comp win fa cup final tkt 21st may text fa 87121 receiv entri question std txt rate c appli 08452810075over18,1
3,u dun say earli hor u c alreadi say,0
4,nah think goe usf live around though,0
5,freemsg hey darl 3 week word back like fun still tb ok xxx std chg send rcv,1
6,even brother like speak treat like aid patent,0
7,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,0
8,winner valu network custom select receivea prize reward claim call claim code kl341 valid 12 hour,1
9,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030,1
10,gon na home soon want talk stuff anymor tonight k cri enough today,0
11,six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info,1
12,urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18,1
13,search right word thank breather promis wont take help grant fulfil promis wonder bless time,0
14,date sunday,0
15,xxxmobilemovieclub use credit click wap link next txt messag click http,1
16,oh k watch,0
17,eh u rememb 2 spell name ye v naughti make v wet,0
18,fine thatåõ way u feel thatåõ way gota b,0
19,england v macedonia dont miss news txt ur nation team 87077 eg england 87077 tri wale scotland poboxox36504w45wq,1
20,serious spell name,0
21,go tri 2 month ha ha joke,0
22,pay first lar da stock comin,0
23,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi,0
24,ffffffffff alright way meet sooner,0
25,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,0
26,lol alway convinc,0
27,catch bu fri egg make tea eat mom left dinner feel love,0
28,back amp pack car let know room,0
29,ahhh work vagu rememb feel like lol,0
30,wait still clear sure sarcast x want live us,0
31,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wo go badli cheer,0
32,k tell anyth,0
33,fear faint housework quick cuppa,0
34,thank subscript rington uk mobil charg pleas confirm repli ye repli charg,1
35,yup ok go home look time msg xuhui go learn 2nd may lesson 8am,0
36,oop let know roommat done,0
37,see letter b car,0
38,anyth lor u decid,0
39,hello saturday go text see decid anyth tomo tri invit anyth,0
40,pl go ahead watt want sure great weekend abiola,0
41,forget tell want need crave love sweet arabian steed mmmmmm yummi,0
42,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow,1
43,see,0
44,great hope like man well endow lt gt inch,0
45,call messag miss call,0
46,get hep b immunis nigeria,0
47,fair enough anyth go,0
48,yeah hope tyler ca could mayb ask around bit,0
49,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker,0
50,think first time saw class,0
51,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt,0
52,k fyi x ride earli tomorrow morn crash place tonight,0
